"","Date","State","Confirmed"
"367","10/05/20","Maharashtra",20228
"368","10/05/20","Odisha",294
"369","10/05/20","West Bengal",1786
"370","11/05/20","Chhattisgarh",59
"371","11/05/20","Gujarat",8194
"372","11/05/20","Jharkhand",157
"373","11/05/20","Madhya Pradesh",3614
"374","11/05/20","Maharashtra",22171
"375","11/05/20","Odisha",377
"376","11/05/20","West Bengal",1939
"377","12/05/20","Chhattisgarh",59
"378","12/05/20","Gujarat",8541
"379","12/05/20","Jharkhand",160
"380","12/05/20","Madhya Pradesh",3785
"381","12/05/20","Maharashtra",23401
"382","12/05/20","Odisha",414
"383","12/05/20","West Bengal",2063
"384","13/05/20","Chhattisgarh",59
"385","13/05/20","Gujarat",8903
"386","13/05/20","Jharkhand",172
"387","13/05/20","Madhya Pradesh",3986
"388","13/05/20","Maharashtra",24427
"389","13/05/20","Odisha",437
"390","13/05/20","West Bengal",2173
"391","14/05/20","Chhattisgarh",59
"392","14/05/20","Gujarat",9267
"393","14/05/20","Jharkhand",173
"394","14/05/20","Madhya Pradesh",4173
"395","14/05/20","Maharashtra",25922
"396","14/05/20","Odisha",538
"397","14/05/20","West Bengal",2290
"398","15/05/20","Chhattisgarh",60
"399","15/05/20","Gujarat",9591
"400","15/05/20","Jharkhand",197
"401","15/05/20","Madhya Pradesh",4426
"402","15/05/20","Maharashtra",27524
"403","15/05/20","Odisha",611
"404","15/05/20","West Bengal",2377
"405","16/05/20","Chhattisgarh",66
"406","16/05/20","Gujarat",9931
"407","16/05/20","Jharkhand",203
"408","16/05/20","Madhya Pradesh",4595
"409","16/05/20","Maharashtra",29100
"410","16/05/20","Odisha",672
"411","16/05/20","West Bengal",2461
"412","17/05/20","Chhattisgarh",67
"413","17/05/20","Gujarat",10988
"414","17/05/20","Jharkhand",217
"415","17/05/20","Madhya Pradesh",4789
"416","17/05/20","Maharashtra",30706
"417","17/05/20","Odisha",737
"418","17/05/20","West Bengal",2576
"419","18/05/20","Chhattisgarh",86
"420","18/05/20","Gujarat",11379
"421","18/05/20","Jharkhand",223
"422","18/05/20","Madhya Pradesh",4977
"423","18/05/20","Maharashtra",33053
"424","18/05/20","Odisha",828
"425","18/05/20","West Bengal",2677
"426","19/05/20","Chhattisgarh",93
"427","19/05/20","Gujarat",11745
"428","19/05/20","Jharkhand",223
"429","19/05/20","Madhya Pradesh",5236
"430","19/05/20","Maharashtra",35058
"431","19/05/20","Odisha",876
"432","19/05/20","West Bengal",2825
"433","20/05/20","Chhattisgarh",101
"434","20/05/20","Gujarat",12140
"435","20/05/20","Jharkhand",231
"436","20/05/20","Madhya Pradesh",5465
"437","20/05/20","Maharashtra",37136
"438","20/05/20","Odisha",978
"439","20/05/20","West Bengal",2961
"440","21/05/20","Chhattisgarh",115
"441","21/05/20","Gujarat",12537
"442","21/05/20","Jharkhand",231
"443","21/05/20","Madhya Pradesh",5735
"444","21/05/20","Maharashtra",39297
"445","21/05/20","Odisha",1052
"446","21/05/20","West Bengal",3103
"447","22/05/20","Chhattisgarh",128
"448","22/05/20","Gujarat",12905
"449","22/05/20","Jharkhand",290
"450","22/05/20","Madhya Pradesh",5981
"451","22/05/20","Maharashtra",41642
"452","22/05/20","Odisha",1103
"453","22/05/20","West Bengal",3197
"454","23/05/20","Chhattisgarh",172
"455","23/05/20","Gujarat",13268
"456","23/05/20","Jharkhand",308
"457","23/05/20","Madhya Pradesh",6170
"458","23/05/20","Maharashtra",44582
"459","23/05/20","Odisha",1189
"460","23/05/20","West Bengal",3332
"461","24/05/20","Chhattisgarh",214
"462","24/05/20","Gujarat",13664
"463","24/05/20","Jharkhand",350
"464","24/05/20","Madhya Pradesh",6371
"465","24/05/20","Maharashtra",47190
"466","24/05/20","Odisha",1269
"467","24/05/20","West Bengal",3459
"468","25/05/20","Chhattisgarh",252
"469","25/05/20","Gujarat",14056
"470","25/05/20","Jharkhand",370
"471","25/05/20","Madhya Pradesh",6665
"472","25/05/20","Maharashtra",50231
"473","25/05/20","Odisha",1336
"474","25/05/20","West Bengal",3667
"475","26/05/20","Chhattisgarh",291
"476","26/05/20","Gujarat",14460
"477","26/05/20","Jharkhand",377
"478","26/05/20","Madhya Pradesh",6859
"479","26/05/20","Maharashtra",52667
"480","26/05/20","Odisha",1438
"481","26/05/20","West Bengal",3816
"482","27/05/20","Chhattisgarh",361
"483","27/05/20","Gujarat",14821
"484","27/05/20","Jharkhand",426
"485","27/05/20","Madhya Pradesh",7024
"486","27/05/20","Maharashtra",54758
"487","27/05/20","Odisha",1517
"488","27/05/20","West Bengal",4009
"489","28/05/20","Chhattisgarh",369
"490","28/05/20","Gujarat",15195
"491","28/05/20","Jharkhand",448
"492","28/05/20","Madhya Pradesh",7261
"493","28/05/20","Maharashtra",56948
"494","28/05/20","Odisha",1593
"495","28/05/20","West Bengal",4192
"496","29/05/20","Chhattisgarh",399
"497","29/05/20","Gujarat",15562
"498","29/05/20","Jharkhand",469
"499","29/05/20","Madhya Pradesh",7453
"500","29/05/20","Maharashtra",59546
